หมายเลขสำนักทางหลวง (Buraeu No.),สำนักทางหลวง,Buraeu of Highways,"จำนวนของช่องจราจร
Number of lane","ระยะทาง (กม.)
Length (K.M.)","รถยนต์นั่งไม่เกิน 7 คน
Passenger Car. less  than 7 persons","รถยนต์นั่งเกิน 7 คน
Passenger Car. more  than 7 persons","รถโดยสารขนาดเล็ก
Ligth Bus","รถโดยสารขนาดกลาง
Medium Bus","รถโดยสารขนาดใหญ่
Heavy Bus","รถบรรทุกเล็ก 4 ล้อ
Ligth Truck","รถบรรทุกกลาง 6 ล้อ
Medium Truck","รถบรรทุก 10 ล้อ
Heavy Truck","รถบรรทุกพ่วง
Full Trailor","รถบรรทุกกึ่งพ่วง
Semi Trailor","รวม
Total","รถจักรยานยนต์
Motorcycle","ปริมาณการเดินทางรวม
Total (PCU-กิโลเมตร)
(PCU-kilometer)"
สำนักงานทางหลวง,ที่ 17 (กระบี่),,4,414.2,1075910753,334296301,81849864,71315242,46758141,1014697055,75246000,55463394,38947644,29063210,2823547604,726905720,3461719715
สำนักงานทางหลวง,ที่ 17 (กระบี่),,> 4,-,-,-,-,-,-,-,-,-,-,-,-,-,0
สำนักงานทางหลวง,ที่ 18 (สงขลา),,2,1626.76,798622179,675733614,60900285,23552197,9953947,688299964,90687625,72448798,34572773,22095704,2476867086,1225751424,3232098424
สำนักงานทางหลวง,ที่ 18 (สงขลา),,4,1098.99,2089896815,1222983575,173454496,134679953,70471843,2002084073,360365015,289545092,203331053,177661207,6724473122,1663678799,8912673010
สำนักงานทางหลวง,ที่ 18 (สงขลา),,> 4,117.26,250757196,135141876,32002604,22666102,8900909,242527165,29275357,25632167,28530378,17283442,792717196,255015395,1054167832
สำนักงานทางหลวง,กองทางหลวงพิเศษระหว่างเมือง,,2,-,-,-,-,-,-,-,-,-,-,-,-,-,0
สำนักงานทางหลวง,กองทางหลวงพิเศษระหว่างเมือง,,4,12.09,60112905,47661808,8059821,8030752,8122368,32117544,13960104,25532613,19563593,16549109,239710617,5649500,366396512
สำนักงานทางหลวง,กองทางหลวงพิเศษระหว่างเมือง,,> 4,195.43,2453433578,1214224808,4394514,55681429,77823094,1727544768,612236768,429562428,297661482,340777262,7213340131,1083498,9604894111
รวมทั้งประเทศ,Total,,2,35021.36,21986521484,13761173542,1599480705,1014035310,998687752,22068443366,4301609338,3047287027,2307640800,1677789356,72762668680,19714576626,97024441151
รวมทั้งประเทศ,Total,,4,12892.36,26483273976,14334012501,1754752270,1243265962,1478558644,22527150493,4236286344,3488548363,2933479854,2535104607,81014433014,14034937590,106913806154
รวมทั้งประเทศ,Total,,> 4,3804.8,22847094806,11357405977,1251068255,770482134,1417584351,14218776197,3282751640,2752965327,2176809611,2057254056,62132192354,6523446493,80967875788
